Fecha,Mes,Derivex_Max,Derivex_Min
2010-10,2010-10,137.0,121.5
2010-10,2010-11,134.0,118.5
2010-10,2010-12,140.0,122.5
2010-10,2011-01,144.24,132.0
2010-11,2010-11,125.5,90.1
2010-11,2010-12,130.0,115.0
2010-11,2011-01,140.0,122.1
2010-11,2011-02,140.0,124.5
2010-12,2010-12,110.0,64.0
2010-12,2011-01,120.0,99.27
2010-12,2011-02,130.0,108.0
2010-12,2011-03,128.0,118.0
2011-01,2011-01,110.0,87.36
2011-01,2011-02,119.0,104.0
2011-01,2011-03,124.0,107.0
2011-01,2011-04,123.5,109.12
2011-02,2011-02,124.0,105.21
2011-02,2011-03,124.23,115.0
2011-02,2011-04,120.0,113.21
2011-02,2011-05,115.96,106.6
2011-03,2011-03,115.85,81.0
2011-03,2011-04,115.01,100.0
2011-03,2011-05,111.5,104.98
2011-03,2011-06,113.85,105.0
2011-04,2011-04,102.0,75.5
2011-04,2011-05,106.68,90.0
2011-04,2011-06,108.01,90.83
2011-04,2011-07,110.0,100.0
2011-05,2011-05,91.0,57.61
2011-05,2011-06,91.5,83.92
2011-05,2011-07,98.83,90.0
2011-05,2011-08,100.0,95.0
2011-06,2011-06,83.5,59.04
2011-06,2011-07,90.5,78.36
2011-06,2011-08,95.0,82.0
2011-06,2011-09,100.0,89.44
2011-07,2011-07,84.5,56.7
2011-07,2011-08,90.0,85.13
2011-07,2011-09,97.0,95.0
2011-07,2011-10,100.0,98.0
2011-08,2011-08,94.35,76.72
2011-08,2011-09,99.09,93.0
2011-08,2011-10,104.0,99.25
2011-08,2011-11,103.09,99.52
2011-09,2011-09,98.0,85.9
2011-09,2011-10,108.08,92.89
2011-09,2011-11,106.4,90.7
2011-09,2011-12,110.1,95.1
2011-10,2011-10,95.75,75.9
2011-10,2011-11,103.0,95.0
2011-10,2011-12,106.1,94.0
2011-10,2012-01,115.3,110.0
2011-10,2012-02,130.0,117.5
2011-10,2012-03,130.0,118.0
2011-10,2012-04,124.0,114.0
2011-10,2012-05,110.0,102.5
2011-10,2012-06,105.0,96.61
2011-10,2012-07,102.0,96.57
2011-10,2012-08,110.0,96.52
2011-10,2012-09,114.88,106.23
2011-10,2012-10,120.0,104.44
2011-11,2011-11,95.0,70.1
2011-11,2011-12,101.0,74.42
2011-11,2012-01,113.46,95.0
2011-11,2012-02,124.47,106.89
2011-11,2012-03,125.78,120.0
2011-11,2012-04,121.35,111.25
2011-11,2012-05,106.54,101.49
2011-11,2012-06,101.0,95.8
2011-11,2012-07,101.0,93.14
2011-11,2012-08,106.0,96.52
2011-11,2012-09,111.39,102.97
2011-11,2012-10,109.5,103.22
2011-11,2012-11,105.19,100.0
2011-12,2011-12,90.0,55.0
2011-12,2012-01,110.83,100.5
2011-12,2012-02,124.0,118.0
2011-12,2012-03,120.0,116.0
2011-12,2012-04,115.0,110.13
2011-12,2012-05,106.09,100.0
2011-12,2012-06,105.0,96.17
2011-12,2012-07,100.0,91.58
2011-12,2012-08,103.24,92.4
2011-12,2012-09,112.5,100.8
2011-12,2012-10,109.0,100.95
2011-12,2012-11,110.0,99.99
2011-12,2012-12,127.5,109.95
2012-01,2012-01,105.0,56.0
2012-01,2012-02,116.6,108.0
2012-01,2012-03,115.79,110.0
2012-01,2012-04,112.0,108.0
2012-01,2012-05,105.18,101.0
2012-01,2012-06,103.06,96.61
2012-01,2012-07,102.5,92.0
2012-01,2012-08,101.74,93.04
2012-01,2012-09,110.39,105.0
2012-01,2012-10,114.5,100.95
2012-01,2012-11,111.96,100.0
2012-01,2012-12,123.73,110.71
2012-01,2013-01,131.0,130.0
2012-02,2012-02,89.2,65.0
2012-02,2012-03,108.5,80.0
2012-02,2012-04,105.5,100.0
2012-02,2012-05,104.0,99.39
2012-02,2012-06,103.06,96.17
2012-02,2012-07,97.86,90.78
2012-02,2012-08,100.0,92.4
2012-02,2012-09,110.0,100.0
2012-02,2012-10,110.0,102.31
2012-02,2012-11,110.0,100.0
2012-02,2012-12,123.73,111.42
2012-02,2013-01,130.0,120.0
2012-02,2013-02,135.0,90.0
2012-03,2012-03,133.92,105.5
2012-03,2012-04,120.0,105.0
2012-03,2012-05,110.0,102.0
2012-03,2012-06,105.0,98.5
2012-03,2012-07,104.0,95.5
2012-03,2012-08,114.5,98.5
2012-03,2012-09,116.0,105.0
2012-03,2012-10,120.0,104.44
2012-03,2012-11,115.96,101.5
2012-03,2012-12,125.0,121.23
2012-03,2013-01,130.5,122.2
2012-03,2013-02,137.5,125.3
2012-03,2013-03,135.59,122.0
2012-04,2012-04,110.63,56.26
2012-04,2012-05,105.0,86.0
2012-04,2012-06,102.5,95.5
2012-04,2012-07,104.0,97.0
2012-04,2012-08,114.0,104.0
2012-04,2012-09,111.0,105.0
2012-04,2012-10,116.0,107.5
2012-04,2012-11,115.0,107.33
2012-04,2012-12,125.0,122.45
2012-04,2013-01,131.0,130.0
2012-04,2013-02,138.5,134.0
2012-04,2013-03,137.5,133.0
2012-04,2013-04,131.93,125.1
2012-05,2012-05,95.0,45.0
2012-05,2012-06,100.0,84.0
2012-05,2012-07,100.0,87.0
2012-05,2012-08,110.0,97.55
2012-05,2012-09,114.0,103.5
2012-05,2012-10,115.0,102.61
2012-05,2012-11,113.0,102.66
2012-05,2012-12,124.5,121.23
2012-05,2013-01,133.32,126.5
2012-05,2013-02,135.0,132.0
2012-05,2013-03,135.0,130.5
2012-05,2013-04,130.0,123.65
2012-05,2013-05,123.0,111.46
2012-06,2012-06,99.0,80.0
2012-06,2012-07,102.0,94.55
2012-06,2012-08,112.0,100.0
2012-06,2012-09,113.0,105.0
2012-06,2012-10,117.21,108.5
2012-06,2012-11,112.0,105.0
2012-06,2012-12,125.0,122.0
2012-06,2013-01,135.0,128.0
2012-06,2013-02,135.0,133.5
2012-06,2013-03,135.86,135.0
2012-06,2013-04,132.5,125.0
2012-06,2013-05,127.5,115.0
2012-06,2013-06,127.0,115.0
2012-07,2012-07,100.0,73.0
2012-07,2012-08,120.0,106.0
2012-07,2012-09,122.25,111.0
2012-07,2012-10,125.0,113.5
2012-07,2012-11,125.0,109.83
2012-07,2012-12,133.0,120.8
2012-07,2013-01,146.0,133.57
2012-07,2013-02,145.95,135.0
2012-07,2013-03,140.0,135.0
2012-07,2013-04,135.0,125.3
2012-07,2013-05,123.0,113.0
2012-07,2013-06,123.75,114.0
2012-07,2013-07,125.15,114.0
2012-08,2012-08,139.16,115.0
2012-08,2012-09,146.55,121.25
2012-08,2012-10,146.5,124.5
2012-08,2012-11,148.5,123.36
2012-08,2012-12,151.5,128.18
2012-08,2013-01,159.0,140.0
2012-08,2013-02,156.78,139.0
2012-08,2013-03,156.05,138.19
2012-08,2013-04,143.43,126.65
2012-08,2013-05,124.66,117.5
2012-08,2013-06,126.25,117.12
2012-08,2013-07,125.56,120.0
2012-08,2013-08,131.43,115.4
2012-09,2012-09,176.0,137.0
2012-09,2012-10,165.0,138.75
2012-09,2012-11,169.0,133.0
2012-09,2012-12,186.0,144.0
2012-09,2013-01,178.0,150.0
2012-09,2013-02,197.5,145.48
2012-09,2013-03,196.0,145.01
2012-09,2013-04,166.87,128.85
2012-09,2013-05,135.0,113.0
2012-09,2013-06,135.0,111.73
2012-09,2013-07,135.0,108.37
2012-09,2013-08,144.0,116.86
2012-09,2013-09,140.0,129.91
2012-10,2012-02,186.0,185.0
2012-10,2012-10,216.0,139.87
2012-10,2012-11,185.0,145.0
2012-10,2012-12,186.0,150.0
2012-10,2013-01,210.0,168.0
2012-10,2013-02,210.0,175.0
2012-10,2013-03,210.0,170.0
2012-10,2013-04,206.29,155.0
2012-10,2013-05,143.0,121.15
2012-10,2013-06,135.0,118.75
2012-10,2013-07,135.0,115.0
2012-10,2013-08,145.0,115.93
2012-10,2013-09,141.5,122.96
2012-10,2013-10,145.0,121.41
2012-11,2012-11,185.0,160.0
2012-11,2012-12,192.0,160.0
2012-11,2013-01,200.0,172.5
2012-11,2013-02,202.0,180.0
2012-11,2013-03,201.0,185.0
2012-11,2013-04,185.0,160.0
2012-11,2013-05,141.51,130.0
2012-11,2013-06,140.0,120.0
2012-11,2013-07,136.0,115.0
2012-11,2013-08,143.0,116.86
2012-11,2013-09,131.0,120.0
2012-11,2013-10,137.5,120.0
2012-11,2013-11,142.5,120.0
2012-12,2012-12,182.67,160.0
2012-12,2013-01,206.27,180.0
2012-12,2013-02,220.0,182.0
2012-12,2013-03,200.5,180.0
2012-12,2013-04,195.4,160.0
2012-12,2013-05,150.0,130.0
2012-12,2013-06,137.5,122.5
2012-12,2013-07,140.0,120.0
2012-12,2013-08,130.0,118.43
2012-12,2013-09,131.0,120.0
2012-12,2013-10,139.5,122.82
2012-12,2013-11,142.5,128.44
2012-12,2013-12,150.0,136.7
