Fecha,Mes,Precio
2010-10-04,2010-10,124.15
2010-10-05,2010-10,124.57
2010-10-06,2010-10,122.5
2010-10-07,2010-10,121.5
2010-10-08,2010-10,123.5
2010-10-11,2010-10,125.0
2010-10-12,2010-10,129.0
2010-10-13,2010-10,125.0
2010-10-14,2010-10,135.0
2010-10-15,2010-10,133.0
2010-10-19,2010-10,137.0
2010-10-20,2010-10,136.0
2010-10-21,2010-10,135.0
2010-10-22,2010-10,136.0
2010-10-25,2010-10,135.0
2010-10-26,2010-10,137.0
2010-10-27,2010-10,137.0
2010-10-28,2010-10,137.0
2010-10-29,2010-10,137.0
2010-10-04,2010-11,124.15
2010-10-05,2010-11,121.07
2010-10-06,2010-11,118.5
2010-10-07,2010-11,121.0
2010-10-08,2010-11,122.0
2010-10-11,2010-11,120.0
2010-10-12,2010-11,125.0
2010-10-13,2010-11,120.0
2010-10-14,2010-11,132.5
2010-10-15,2010-11,126.0
2010-10-19,2010-11,122.0
2010-10-20,2010-11,126.0
2010-10-21,2010-11,124.01
2010-10-22,2010-11,134.0
2010-10-25,2010-11,129.0
2010-10-26,2010-11,125.0
2010-10-27,2010-11,133.0
2010-10-28,2010-11,132.0
2010-10-29,2010-11,132.0
2010-11-02,2010-11,125.0
2010-11-03,2010-11,124.81
2010-11-04,2010-11,125.5
2010-11-05,2010-11,120.0
2010-11-08,2010-11,120.0
2010-11-09,2010-11,120.0
2010-11-10,2010-11,120.0
2010-11-11,2010-11,118.0
2010-11-12,2010-11,115.65
2010-11-16,2010-11,111.5
2010-11-17,2010-11,110.0
2010-11-18,2010-11,109.0
2010-11-19,2010-11,108.8
2010-11-22,2010-11,103.05
2010-11-23,2010-11,98.5
2010-11-24,2010-11,95.0
2010-11-25,2010-11,95.0
2010-11-26,2010-11,94.85
2010-11-29,2010-11,92.83
2010-11-30,2010-11,90.1
2010-10-04,2010-12,122.5
2010-10-05,2010-12,129.55
2010-10-06,2010-12,125.5
2010-10-07,2010-12,125.0
2010-10-08,2010-12,126.5
2010-10-11,2010-12,129.0
2010-10-12,2010-12,130.0
2010-10-13,2010-12,130.0
2010-10-14,2010-12,136.5
2010-10-15,2010-12,131.5
2010-10-19,2010-12,130.0
2010-10-20,2010-12,131.0
2010-10-21,2010-12,133.0
2010-10-22,2010-12,140.0
2010-10-25,2010-12,134.0
2010-10-26,2010-12,130.0
2010-10-27,2010-12,135.0
2010-10-28,2010-12,130.0
2010-10-29,2010-12,130.0
2010-11-02,2010-12,130.0
2010-11-03,2010-12,130.0
2010-11-04,2010-12,130.0
2010-11-05,2010-12,130.0
2010-11-08,2010-12,130.0
2010-11-09,2010-12,128.0
2010-11-10,2010-12,130.0
2010-11-11,2010-12,128.0
2010-11-12,2010-12,128.0
2010-11-16,2010-12,126.0
2010-11-17,2010-12,119.7
2010-11-18,2010-12,120.11
2010-11-19,2010-12,127.0
2010-11-22,2010-12,120.0
2010-11-23,2010-12,118.0
2010-11-24,2010-12,121.0
2010-11-25,2010-12,120.0
2010-11-26,2010-12,118.8
2010-11-29,2010-12,115.0
2010-11-30,2010-12,115.15
2010-12-01,2010-12,110.0
2010-12-02,2010-12,105.0
2010-12-03,2010-12,105.0
2010-12-04,2010-12,92.0
2010-12-06,2010-12,92.0
2010-12-07,2010-12,90.0
2010-12-09,2010-12,83.15
2010-12-10,2010-12,82.0
2010-12-13,2010-12,78.0
2010-12-14,2010-12,76.0
2010-12-15,2010-12,76.87
2010-12-16,2010-12,75.0
2010-12-17,2010-12,77.07
2010-12-20,2010-12,75.0
2010-12-21,2010-12,74.08
2010-12-22,2010-12,74.13
2010-12-23,2010-12,72.0
2010-12-24,2010-12,67.07
2010-12-27,2010-12,64.0
2010-12-28,2010-12,67.58
2010-12-29,2010-12,66.68
2010-12-30,2010-12,71.8
2010-10-04,2011-01,134.15
2010-10-05,2011-01,134.05
2010-10-06,2011-01,133.75
2010-10-07,2011-01,132.0
2010-10-08,2011-01,133.5
2010-10-11,2011-01,144.24
2010-10-12,2011-01,136.5
2010-10-13,2011-01,137.0
2010-10-14,2011-01,139.0
2010-10-15,2011-01,137.5
2010-10-19,2011-01,138.0
2010-10-20,2011-01,140.0
2010-10-21,2011-01,142.0
2010-10-22,2011-01,140.0
2010-10-25,2011-01,139.0
2010-10-26,2011-01,139.0
2010-10-27,2011-01,140.0
2010-10-28,2011-01,140.0
2010-10-29,2011-01,140.0
2010-11-02,2011-01,140.0
2010-11-03,2011-01,140.0
2010-11-04,2011-01,140.0
2010-11-05,2011-01,140.0
2010-11-08,2011-01,137.0
2010-11-09,2011-01,135.0
2010-11-10,2011-01,137.0
2010-11-11,2011-01,135.0
2010-11-12,2011-01,134.0
