Fecha,Derivex_Max,Derivex_Min
2010-10,137,121.5
2010-11,134,90.1
2010-12,140,64
2011-01,144.24,87.36
2011-02,140,104
2011-03,128,81
2011-04,123.5,75.5
2011-05,115.96,57.61
2011-06,113.85,59.04
2011-07,110,56.7
2011-08,100,76.72
2011-09,100,85.9
2011-10,108.08,75.9
2011-11,106.4,70.1
2011-12,110.1,55
2012-01,115.3,56
2012-02,186,65
2012-03,133.92,80
2012-04,124,56.26
2012-05,110,45
2012-06,105,80
2012-07,104,73
2012-08,139.16,92.4
2012-09,176,100
2012-10,216,100.95
2012-11,185,99.99
2012-12,192,109.95
2013-01,210,120
2013-02,220,90
2013-03,220,122
2013-04,230,123.65
2013-05,159.27,111.46
2013-06,140,109.2
2013-07,234.5,105
2013-08,200,110
2013-09,171,115
2013-10,200,116.22
2013-11,219.5,118.95
2013-12,238.26,118.28
2014-01,185,133.22
2014-02,195.69,138
2014-03,184.5,129.93
2014-04,367.28,120
2014-05,395.22,114.46
2014-06,389.38,110.26
2014-07,250,105
2014-08,274.5,110
2014-09,240.79,105
2014-10,289.33,119.4
2014-11,286.01,121.27
2014-12,286.21,123.8
2015-01,269.9,127.43
2015-02,266.25,129.02
2015-03,262.7,126.56
2015-04,215.66,126.56
2015-05,267.26,128.38
2015-06,217.33,129
2015-07,219.1,129
2015-08,200,129.29
2015-09,385.87,131.35
2015-10,911.51,142
2015-11,810,142.06
2015-12,810,146
2016-01,810,146
2016-02,810,148
2016-03,776,150
2016-04,576.16,148.8
2016-05,320.58,135
2016-06,288.94,139.33
2016-07,244.04,119.79
2016-08,238.56,145
2016-09,238.56,146.4
2016-10,220.15,150.34
2016-11,226.5,150
2016-12,220,124.63
2017-01,236.81,102.03
2017-02,236.81,139.18
2017-03,241.28,114.59
2017-04,220,92.97
2017-05,220,67.05
2017-06,200,61.92
2017-07,204.05,66.85
2017-08,204.05,77.03
2017-09,204.05,121.92
2017-10,193.66,119.52
2017-11,195.06,124.45
2017-12,210.99,96.89
2018-01,222.4,121.47
2018-02,222.4,131.48
2018-03,222.4,147.02
2018-04,234.6,115.59
2018-05,221,74.69
2018-06,209.5,68.72
2018-07,200.5,76.74
2018-08,197,86.97
2018-09,198,92.75
2018-10,198.2,111.02
2018-11,198.2,99.51
2018-12,197,127.22
2019-01,321.57,181.49
2019-02,303.27,190.22
2019-03,293.3,190.22
2019-04,275.89,180.27
2019-05,209.84,168.2
2019-06,209.84,113.7
2019-07,205,120.07
2019-08,203.23,138.92
2019-09,279.36,169.35
2019-10,381.56,178.02
2019-11,274.22,178.02
2019-12,313.3,178.02
2020-01,317.5,180.27
2020-02,440.2,180.27
2020-03,347.2,180.27
2020-04,250,180.27
2020-05,361.2,180.27
2020-06,357.37,186.5
2020-07,300,147
2020-08,263,149
2020-09,260,141.75
2020-10,268.27,149.11
2020-11,261.24,171.5
2020-12,265.11,154.67
2021-01,260,167.8
2021-02,263.75,194
2021-03,260,155.85
2021-04,248.14,156
2021-05,243.3,187.5
2021-06,231,187.5
2021-07,231,187.5
2021-08,231,187.5
2021-09,231,187.5
2021-10,231,200
2021-11,231,200
2021-12,234.35,200
2022-01,244.62,200.45
2022-02,244.62,218.5
2022-03,244.62,218.5
2022-04,244.62,218.5
2022-05,237.51,218.5
2022-06,237.51,218.5
2022-07,237.51,218.5
2022-08,237.51,218.5
2022-09,237.51,218.5
2022-10,237.51,218.5
2022-11,241.57,218.5
2022-12,241.57,218.5
2023-01,232,229.31
2023-02,232,229.31
2023-03,232,229.31
2023-04,232,229.31
2023-05,232,229.31
2023-06,232,229.31
2023-07,232,229.31
2023-08,232,229.31
2023-09,232,229.31
2023-10,232,229.31
2023-11,232,229.31
2023-12,232,229.31
2024-01,228,213.5
2024-02,228,213.5
2024-03,228,213.5
2024-04,228,213.5
2024-05,228,213.5
2024-06,228,213.5
2024-07,228,213.5
2024-08,228,213.5
2024-09,228,213.5
2024-10,228,213.5
2024-11,228,213.5
2024-12,228,213.5
2025-01,227.5,222.61
2025-02,227.5,222.61
2025-03,227.5,222.61
2025-04,227.5,222.61
2025-05,227.5,222.61
2025-06,227.5,222.61
2025-07,227.5,222.61
2025-08,227.5,222.61
2025-09,227.5,222.61
2025-10,227.5,222.61
2025-11,227.5,222.61
2025-12,227.5,222.61
2026-01,235,230
2026-02,235,230
2026-03,235,230
2026-04,235,230
2026-05,235,230
2026-06,235,230
2026-07,235,230
2026-08,235,230
2026-09,235,230
2026-10,235,230
2026-11,235,230
2026-12,234.53,230
2027-01,231,230
2027-02,231,230
2027-03,230,230
