,ONI,P_1,P_2,P_3,P_4,P_5,0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,0,P_1,Generacion_Hidro_GWh,P_1,P_2,P_3,P_4,P_5,esc-2,0,P_1,P_2,P_3,P_4
0,-1.7,0.0,0.0,0.0,0.0,0.0,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2494398197182103,0.0,2377.973408,0.0,0.0,0.0,0.0,0.0,3354.237365,976.2639570000001,0.0,0.0,0.0,0.0
1,-1.4,-1.7,0.0,0.0,0.0,0.0,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361922645299465,-0.2494398197182103,2267.2582780000002,2377.973408,0.0,0.0,0.0,0.0,3278.266736,1011.0084579999998,976.2639570000001,0.0,0.0,0.0
2,-1.1,-1.4,-1.7,0.0,0.0,0.0,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0570331587392177,0.8361922645299465,2493.36938,2267.2582780000002,2377.973408,0.0,0.0,0.0,3495.2031979999997,1001.8338179999996,1011.0084579999998,976.2639570000001,0.0,0.0
3,-0.8,-1.1,-1.4,-1.7,0.0,0.0,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3853920447192158,1.0570331587392177,2383.0609170000002,2493.36938,2267.2582780000002,2377.973408,0.0,0.0,3298.385731,915.3248139999996,1001.8338179999996,1011.0084579999998,976.2639570000001,0.0
4,-0.7,-0.8,-1.1,-1.4,-1.7,0.0,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.0,0.3405131764038337,0.3853920447192158,2720.3803989999997,2383.0609170000002,2493.36938,2267.2582780000002,2377.973408,0.0,3502.127124,781.7467250000004,915.3248139999996,1001.8338179999996,1011.0084579999998,976.2639570000001
5,-0.6,-0.7,-0.8,-1.1,-1.4,-1.7,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,0.0,0.10525591889610253,0.3405131764038337,2652.257939,2720.3803989999997,2383.0609170000002,2493.36938,2267.2582780000002,2377.973408,3367.885957,715.6280179999999,781.7467250000004,915.3248139999996,1001.8338179999996,1011.0084579999998
6,-0.6,-0.6,-0.7,-0.8,-1.1,-1.4,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,0.0,-0.15765615698245958,0.10525591889610253,2838.428918,2652.257939,2720.3803989999997,2383.0609170000002,2493.36938,2267.2582780000002,3459.362737,620.9338189999999,715.6280179999999,781.7467250000004,915.3248139999996,1001.8338179999996
7,-0.5,-0.6,-0.6,-0.7,-0.8,-1.1,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,0.0,-0.21168514011588477,-0.15765615698245958,2646.633763,2838.428918,2652.257939,2720.3803989999997,2383.0609170000002,2493.36938,3518.519072,871.8853090000002,620.9338189999999,715.6280179999999,781.7467250000004,915.3248139999996
8,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,0.0,-0.06264253935949146,-0.21168514011588477,2521.473709,2646.633763,2838.428918,2652.257939,2720.3803989999997,2383.0609170000002,3456.2032600000002,934.7295510000004,871.8853090000002,620.9338189999999,715.6280179999999,781.7467250000004
9,-0.6,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,0.0,-0.3647203965389597,-0.06264253935949146,2594.785773,2521.473709,2646.633763,2838.428918,2652.257939,2720.3803989999997,3576.0676479999997,981.2818749999997,934.7295510000004,871.8853090000002,620.9338189999999,715.6280179999999
10,-0.7,-0.6,-0.5,-0.5,-0.6,-0.6,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.5703833969708487,-0.9356381973675686,-0.3647203965389597,2650.205438,2594.785773,2521.473709,2646.633763,2838.428918,2652.257939,3527.626246000001,877.4208080000012,981.2818749999997,934.7295510000004,871.8853090000002,620.9338189999999
11,-0.7,-0.7,-0.6,-0.5,-0.5,-0.6,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,0.01441160007544664,-0.6383211453534908,-0.9356381973675686,2928.456323,2650.205438,2594.785773,2521.473709,2646.633763,2838.428918,3644.9586560000002,716.5023330000004,877.4208080000012,981.2818749999997,934.7295510000004,871.8853090000002
12,-0.7,-0.7,-0.7,-0.6,-0.5,-0.5,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.6214263519443274,-0.7550023108698968,-0.6383211453534908,2573.168247,2928.456323,2650.205438,2594.785773,2521.473709,2646.633763,3512.7539659999998,939.5857189999997,716.5023330000004,877.4208080000012,981.2818749999997,934.7295510000004
